task_id,metric,agent_id,best_baseline_agent_id,paired_count,nonzero_difference_count,agent_higher_count,baseline_higher_count,tie_count,agent_mean,best_baseline_mean,mean_difference,difference_std,difference_se,ci95_low,ci95_high,sign_test_p_value,direction
usd_afe_vs_eme_relative_direction_v0,score.balanced_accuracy,usd_research_sweep_env_agent,extra_trees_baseline,3,3,0,3,0,0.5068303333333334,0.5289706666666667,-0.022140333333333335,0.009293072114932388,0.0053653576871548194,-0.04522746746116052,0.0009468007944938538,0.25,baseline_higher
usd_afe_vs_eme_relative_direction_v0,score.roc_auc,usd_research_sweep_env_agent,logistic_regression_baseline,3,3,0,3,0,0.517023,0.542018,-0.02499499999999999,0.01081146114084488,0.006241999999999971,-0.05185432599999987,0.001864325999999885,0.25,baseline_higher
usd_broad_direction_v0,score.overall_score,usd_research_sweep_env_agent,previous_day_direction_baseline,3,3,0,3,0,0.5017373333333333,0.509505,-0.007767666666666673,0.005363851352650759,0.003096821022346054,-0.021093287525821743,0.005557954192488397,0.25,baseline_higher
usd_broad_direction_v0,score.balanced_accuracy,usd_research_sweep_env_agent,previous_day_direction_baseline,3,3,0,3,0,0.5017373333333333,0.509505,-0.007767666666666673,0.005363851352650759,0.003096821022346054,-0.021093287525821743,0.005557954192488397,0.25,baseline_higher
usd_broad_direction_v0,score.roc_auc,usd_research_sweep_env_agent,previous_day_direction_baseline,3,3,1,2,0,0.49725600000000003,0.509505,-0.012248999999999973,0.014730667839578781,0.008504755042523772,-0.048844960947979764,0.024346960947979814,1.0,baseline_higher
yield_curve_10y2y_steepening_v0,score.overall_score,treasury_curve_research_sweep_env_agent,logistic_regression_baseline,3,3,0,3,0,0.500768,0.529693,-0.02892499999999996,0.0037056871157721888,0.002139479453823601,-0.038131180089802916,-0.019718819910197007,0.25,baseline_higher
yield_curve_10y2y_steepening_v0,score.balanced_accuracy,treasury_curve_research_sweep_env_agent,logistic_regression_baseline,3,3,0,3,0,0.500768,0.529693,-0.02892499999999996,0.0037056871157721888,0.002139479453823601,-0.038131180089802916,-0.019718819910197007,0.25,baseline_higher
yield_curve_10y2y_steepening_v0,score.roc_auc,treasury_curve_research_sweep_env_agent,logistic_regression_baseline,3,3,0,3,0,0.5220726666666666,0.557649,-0.03557633333333332,0.00022160851367518744,0.00012794573502508233,-0.03612688383114625,-0.035025782835520394,0.25,baseline_higher
yield_curve_10y3mo_steepening_v0,score.overall_score,treasury_curve_10y3mo_research_sweep_env_agent,extra_trees_baseline,3,3,0,3,0,0.517247,0.5333803333333333,-0.016133333333333333,0.011240413530352543,0.006489655777551753,-0.044058322144138524,0.011791655477471859,0.25,baseline_higher
yield_curve_10y3mo_steepening_v0,score.balanced_accuracy,treasury_curve_10y3mo_research_sweep_env_agent,extra_trees_baseline,3,3,0,3,0,0.517247,0.5333803333333333,-0.016133333333333333,0.011240413530352543,0.006489655777551753,-0.044058322144138524,0.011791655477471859,0.25,baseline_higher
yield_curve_10y3mo_steepening_v0,score.roc_auc,treasury_curve_10y3mo_research_sweep_env_agent,extra_trees_baseline,3,3,0,3,0,0.526163,0.550471,-0.024307999999999958,0.0032601378805198105,0.0018822414829134087,-0.03240728510097635,-0.016208714899023563,0.25,baseline_higher
yield_direction_treasury10y_v0,score.overall_score,treasury_research_sweep_env_agent,extra_trees_baseline,3,1,0,1,2,0.5041463333333334,0.5063690000000001,-0.0022226666666666692,0.003849771594956429,0.0022226666666666692,-0.011786801333333347,0.007341468000000007,1.0,baseline_higher
yield_direction_treasury10y_v0,score.balanced_accuracy,treasury_research_sweep_env_agent,extra_trees_baseline,3,1,0,1,2,0.5041463333333334,0.5063690000000001,-0.0022226666666666692,0.003849771594956429,0.0022226666666666692,-0.011786801333333347,0.007341468000000007,1.0,baseline_higher
yield_direction_treasury10y_v0,score.roc_auc,treasury_research_sweep_env_agent,extra_trees_baseline,3,1,1,0,2,0.5269706666666667,0.5253493333333333,0.0016213333333333264,0.0028082317093383277,0.0016213333333333264,-0.005355263999999978,0.00859793066666663,1.0,agent_higher
